city,state,time,temp,precip_prob,wind,forecast
Gaylord National,Maryland,2022-07-18T04:00:00Z,75.41,0,2.97,FALSE
Gaylord National,Maryland,2022-07-18T05:00:00Z,75.39,0,3.23,FALSE
Gaylord National,Maryland,2022-07-18T06:00:00Z,74.32,0.03,2.75,FALSE
Gaylord National,Maryland,2022-07-18T07:00:00Z,73.96,0,3.16,FALSE
Gaylord National,Maryland,2022-07-18T08:00:00Z,73.48,0,3.61,FALSE
Gaylord National,Maryland,2022-07-18T09:00:00Z,73.67,0,4.02,FALSE
Gaylord National,Maryland,2022-07-18T10:00:00Z,74.18,0,4.12,FALSE
Gaylord National,Maryland,2022-07-18T11:00:00Z,74.85,0,4.91,FALSE
Gaylord National,Maryland,2022-07-18T12:00:00Z,76.92,0,5.29,FALSE
Gaylord National,Maryland,2022-07-18T13:00:00Z,79.67,0,5.88,FALSE
Gaylord National,Maryland,2022-07-18T14:00:00Z,82.35,0,6.06,FALSE
Gaylord National,Maryland,2022-07-18T15:00:00Z,84.86,0,6.82,FALSE
Gaylord National,Maryland,2022-07-18T16:00:00Z,87.39,0,7.48,FALSE
Gaylord National,Maryland,2022-07-18T17:00:00Z,89.12,0,7.31,FALSE
Gaylord National,Maryland,2022-07-18T18:00:00Z,89.47,0.01,7.77,FALSE
Gaylord National,Maryland,2022-07-18T19:00:00Z,91.22,0,7.92,FALSE
Gaylord National,Maryland,2022-07-18T20:00:00Z,91.4,0.02,7.55,FALSE
Gaylord National,Maryland,2022-07-18T21:00:00Z,89.46,0.05,6.93,FALSE
Gaylord National,Maryland,2022-07-18T22:00:00Z,86.09,0.1,4.53,FALSE
Gaylord National,Maryland,2022-07-18T23:00:00Z,82.74,0.12,3.32,FALSE
Gaylord National,Maryland,2022-07-19T00:00:00Z,81.18,0.03,3.3,FALSE
Gaylord National,Maryland,2022-07-19T01:00:00Z,79.26,0,2.54,FALSE
Gaylord National,Maryland,2022-07-19T02:00:00Z,78.27,0.04,2.57,FALSE
Gaylord National,Maryland,2022-07-19T03:00:00Z,77.91,0.05,2.11,FALSE
Gaylord National,Maryland,2022-07-19T04:00:00Z,77.49,0.07,2.31,FALSE
Gaylord National,Maryland,2022-07-19T05:00:00Z,77.24,0.02,2.82,FALSE
Gaylord National,Maryland,2022-07-19T06:00:00Z,76.49,0,2.4,FALSE
Gaylord National,Maryland,2022-07-19T07:00:00Z,75.95,0,2.24,FALSE
Gaylord National,Maryland,2022-07-19T08:00:00Z,75.31,0,2.51,FALSE
Gaylord National,Maryland,2022-07-19T09:00:00Z,75.29,0.01,2.23,FALSE
Gaylord National,Maryland,2022-07-19T10:00:00Z,74.46,0,2.44,FALSE
Gaylord National,Maryland,2022-07-19T11:00:00Z,74.95,0,2.25,FALSE
Gaylord National,Maryland,2022-07-19T12:00:00Z,77.52,0,3.09,FALSE
Gaylord National,Maryland,2022-07-19T13:00:00Z,79.91,0,3.7,FALSE
Gaylord National,Maryland,2022-07-19T14:00:00Z,80.75,0,3.85,FALSE
Gaylord National,Maryland,2022-07-19T15:00:00Z,81.68,0,3.33,FALSE
Gaylord National,Maryland,2022-07-19T16:00:00Z,83.82,0,3.36,FALSE
Gaylord National,Maryland,2022-07-19T17:00:00Z,85.94,0.01,3.37,FALSE
Gaylord National,Maryland,2022-07-19T18:00:00Z,88.04,0,3.48,FALSE
Gaylord National,Maryland,2022-07-19T19:00:00Z,89.28,0,4.34,FALSE
Gaylord National,Maryland,2022-07-19T20:00:00Z,88.56,0,4.5,FALSE
Gaylord National,Maryland,2022-07-19T21:00:00Z,89.13,0.01,4.5,FALSE
Gaylord National,Maryland,2022-07-19T22:00:00Z,88.31,0,4.4,FALSE
Gaylord National,Maryland,2022-07-19T23:00:00Z,87.5,0,4.17,FALSE
Gaylord National,Maryland,2022-07-20T00:00:00Z,85.43,0,3.74,FALSE
Gaylord National,Maryland,2022-07-20T01:00:00Z,82.88,0,2.94,FALSE
Gaylord National,Maryland,2022-07-20T02:00:00Z,80.76,0,2.99,FALSE
Gaylord National,Maryland,2022-07-20T03:00:00Z,79.11,0,3.38,FALSE
Gaylord National,Maryland,2022-07-20T04:00:00Z,77.9,0,2.52,FALSE
Gaylord National,Maryland,2022-07-20T05:00:00Z,76.63,0,2.34,FALSE
Gaylord National,Maryland,2022-07-20T06:00:00Z,75.29,0,2.32,FALSE
Gaylord National,Maryland,2022-07-20T07:00:00Z,74.42,0,2.49,FALSE
Gaylord National,Maryland,2022-07-20T08:00:00Z,73.79,0,2.46,FALSE
Gaylord National,Maryland,2022-07-20T09:00:00Z,73.31,0,1.92,FALSE
Gaylord National,Maryland,2022-07-20T10:00:00Z,72.33,0,2.3,FALSE
Gaylord National,Maryland,2022-07-20T11:00:00Z,73.38,0,2.28,FALSE
Gaylord National,Maryland,2022-07-20T12:00:00Z,78.15,0.02,2.09,FALSE
Gaylord National,Maryland,2022-07-20T13:00:00Z,82.1,0.02,2.48,FALSE
Gaylord National,Maryland,2022-07-20T14:00:00Z,84.1,0,2.69,FALSE
Gaylord National,Maryland,2022-07-20T15:00:00Z,86.7,0,3.2,FALSE
Gaylord National,Maryland,2022-07-20T16:00:00Z,88.59,0,2.81,FALSE
Gaylord National,Maryland,2022-07-20T17:00:00Z,89.77,0,3.71,FALSE
Gaylord National,Maryland,2022-07-20T18:00:00Z,90.79,0,5.1,FALSE
Gaylord National,Maryland,2022-07-20T19:00:00Z,92.46,0,5.81,TRUE
Gaylord National,Maryland,2022-07-20T20:00:00Z,93.22,0,6.76,TRUE
Gaylord National,Maryland,2022-07-20T21:00:00Z,92.61,0,7.71,TRUE
Gaylord National,Maryland,2022-07-20T22:00:00Z,91.77,0,7.53,TRUE
Gaylord National,Maryland,2022-07-20T23:00:00Z,90.34,0.01,6.69,TRUE
Gaylord National,Maryland,2022-07-21T00:00:00Z,87.8,0.02,5.91,TRUE
Gaylord National,Maryland,2022-07-21T01:00:00Z,85.65,0.02,6.14,TRUE
Gaylord National,Maryland,2022-07-21T02:00:00Z,84.34,0.02,6.19,TRUE
Gaylord National,Maryland,2022-07-21T03:00:00Z,83.56,0.02,5.99,TRUE
Gaylord National,Maryland,2022-07-21T04:00:00Z,83.42,0.01,6.16,TRUE
Gaylord National,Maryland,2022-07-21T05:00:00Z,83.2,0,6.32,TRUE
Gaylord National,Maryland,2022-07-21T06:00:00Z,82.86,0,6.81,TRUE
Gaylord National,Maryland,2022-07-21T07:00:00Z,82,0,6.76,TRUE
Gaylord National,Maryland,2022-07-21T08:00:00Z,80.63,0,7.03,TRUE
Gaylord National,Maryland,2022-07-21T09:00:00Z,79.45,0,7.02,TRUE
Gaylord National,Maryland,2022-07-21T10:00:00Z,78.69,0,6.96,TRUE
Gaylord National,Maryland,2022-07-21T11:00:00Z,78.69,0,7.09,TRUE
Gaylord National,Maryland,2022-07-21T12:00:00Z,80.12,0,7.32,TRUE
Gaylord National,Maryland,2022-07-21T13:00:00Z,82.48,0,7.6,TRUE
Gaylord National,Maryland,2022-07-21T14:00:00Z,84.87,0,7.81,TRUE
Gaylord National,Maryland,2022-07-21T15:00:00Z,87.35,0,8.05,TRUE
Gaylord National,Maryland,2022-07-21T16:00:00Z,89.03,0.02,8.48,TRUE
Gaylord National,Maryland,2022-07-21T17:00:00Z,89.93,0.01,8.95,TRUE
Gaylord National,Maryland,2022-07-21T18:00:00Z,92.45,0,9.41,TRUE
Gaylord National,Maryland,2022-07-21T19:00:00Z,93.89,0.01,9.7,TRUE
Gaylord National,Maryland,2022-07-21T20:00:00Z,94.34,0.01,9.78,TRUE
Gaylord National,Maryland,2022-07-21T21:00:00Z,93.92,0.01,9.65,TRUE
Gaylord National,Maryland,2022-07-21T22:00:00Z,91.94,0.01,9.07,TRUE
Gaylord National,Maryland,2022-07-21T23:00:00Z,89.6,0.01,8.53,TRUE
Gaylord National,Maryland,2022-07-22T00:00:00Z,87.8,0.01,7.72,TRUE
Gaylord National,Maryland,2022-07-22T01:00:00Z,86.25,0.01,7.24,TRUE
Gaylord National,Maryland,2022-07-22T02:00:00Z,85.31,0.01,7.29,TRUE
Gaylord National,Maryland,2022-07-22T03:00:00Z,84.39,0,6.82,TRUE
Gaylord National,Maryland,2022-07-22T04:00:00Z,83.33,0,6,TRUE
Gaylord National,Maryland,2022-07-22T05:00:00Z,81.92,0,5.16,TRUE
Gaylord National,Maryland,2022-07-22T06:00:00Z,80.82,0,3.95,TRUE
Gaylord National,Maryland,2022-07-22T07:00:00Z,79.35,0,3.72,TRUE
Gaylord National,Maryland,2022-07-22T08:00:00Z,77.82,0,3.83,TRUE
Gaylord National,Maryland,2022-07-22T09:00:00Z,76.99,0,3.83,TRUE
Gaylord National,Maryland,2022-07-22T10:00:00Z,76.55,0,3.83,TRUE
Gaylord National,Maryland,2022-07-22T11:00:00Z,77.01,0,3.88,TRUE
Gaylord National,Maryland,2022-07-22T12:00:00Z,79.03,0,4.45,TRUE
Gaylord National,Maryland,2022-07-22T13:00:00Z,81.72,0,4.58,TRUE
Gaylord National,Maryland,2022-07-22T14:00:00Z,84.23,0,4.47,TRUE
Gaylord National,Maryland,2022-07-22T15:00:00Z,86.39,0,4.7,TRUE
Gaylord National,Maryland,2022-07-22T16:00:00Z,88.01,0,5.32,TRUE
Gaylord National,Maryland,2022-07-22T17:00:00Z,89.33,0,6.12,TRUE
Gaylord National,Maryland,2022-07-22T18:00:00Z,90.59,0,7.16,TRUE
Gaylord National,Maryland,2022-07-22T19:00:00Z,91.84,0,7.68,TRUE
Gaylord National,Maryland,2022-07-22T20:00:00Z,92.95,0,7.9,TRUE
Gaylord National,Maryland,2022-07-22T21:00:00Z,93.37,0,7.74,TRUE
Gaylord National,Maryland,2022-07-22T22:00:00Z,92.82,0,7.57,TRUE
Gaylord National,Maryland,2022-07-22T23:00:00Z,91.28,0.01,6.46,TRUE
Gaylord National,Maryland,2022-07-23T00:00:00Z,89.13,0.01,5.96,TRUE
Gaylord National,Maryland,2022-07-23T01:00:00Z,86.81,0.01,5.59,TRUE
Gaylord National,Maryland,2022-07-23T02:00:00Z,85.63,0.01,5.44,TRUE
Gaylord National,Maryland,2022-07-23T03:00:00Z,84.27,0,5.18,TRUE
