city,state,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,forecast
New York,New York,2022-07-22T04:00:00Z,Clear,clear-night,0,0,83.04,85.61,66.92,0.58,1006.8,6.73,14.44,245,0.17,0,10,311.3,NA,FALSE
New York,New York,2022-07-22T05:00:00Z,Clear,clear-night,0,0,81.87,84.49,67.27,0.61,1007,6.32,13.91,272,0.11,0,10,310.6,NA,FALSE
New York,New York,2022-07-22T06:00:00Z,Clear,clear-night,0,0,80.55,83.12,67.61,0.65,1007.5,6.12,13.42,260,0.05,0,10,311,NA,FALSE
New York,New York,2022-07-22T07:00:00Z,Clear,clear-night,0,0,79.44,81.88,67.9,0.68,1008,5.6,11.33,230,0.01,0,10,311.6,NA,FALSE
New York,New York,2022-07-22T08:00:00Z,Clear,clear-night,0,0,78.27,79.16,68.33,0.72,1008.4,5.07,9.01,310,0.02,0,10,313.8,NA,FALSE
New York,New York,2022-07-22T09:00:00Z,Clear,clear-night,0,0,77.66,78.56,68.41,0.73,1008.9,4.66,9.2,295,0.01,0,10,316.1,NA,FALSE
New York,New York,2022-07-22T10:00:00Z,Clear,clear-day,0,0,77.23,78.19,68.8,0.75,1009.6,4.43,8.07,290,0.01,0,10,316.1,NA,FALSE
New York,New York,2022-07-22T11:00:00Z,Clear,clear-day,0,0,78.5,79.46,68.93,0.73,1010.2,4.05,8.39,298,0.04,0,10,315.6,NA,FALSE
New York,New York,2022-07-22T12:00:00Z,Clear,clear-day,0,0,80.53,83.52,68.95,0.68,1010.8,3.85,7.56,312,0.2,1,10,312.1,NA,FALSE
New York,New York,2022-07-22T13:00:00Z,Clear,clear-day,0,0,82.56,85.93,68.79,0.63,1011.5,3.99,9.36,339,0.06,3,10,312.7,NA,FALSE
New York,New York,2022-07-22T14:00:00Z,Clear,clear-day,0,0,84.94,88.9,69.12,0.59,1012.1,4.1,7.88,219,0.24,5,10,313.8,NA,FALSE
New York,New York,2022-07-22T15:00:00Z,Clear,clear-day,0,0,86.97,90.67,68.25,0.54,1012.2,4.76,8.65,254,0.03,7,10,315.2,NA,FALSE
New York,New York,2022-07-22T16:00:00Z,Clear,clear-day,0,0,88.86,91.82,66.77,0.48,1012.6,5.68,9.68,259,0.04,9,10,315.2,NA,FALSE
New York,New York,2022-07-22T17:00:00Z,Clear,clear-day,0,0,90.26,92.41,65.2,0.44,1012,6.68,10.2,237,0.14,9,10,314,NA,FALSE
New York,New York,2022-07-22T18:00:00Z,Clear,clear-day,0,0,91.66,93.61,64.61,0.41,1011.7,7.36,11.5,219,0.15,8,10,315.6,NA,FALSE
New York,New York,2022-07-22T19:00:00Z,Clear,clear-day,0,0,91.82,94.59,65.91,0.43,1011.4,9.27,13.67,206,0.19,7,10,316.4,NA,FALSE
New York,New York,2022-07-22T20:00:00Z,Clear,clear-day,0,0,90.46,93.71,66.92,0.46,1011.6,10.6,15.69,194,0.25,5,10,315.2,NA,FALSE
New York,New York,2022-07-22T21:00:00Z,Clear,clear-day,0,0,88.62,91.83,67.19,0.49,1011.5,11.22,17.4,190,0.15,3,10,313.8,NA,FALSE
New York,New York,2022-07-22T22:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,86.91,90.42,67.96,0.53,1011.5,9.3,15.99,190,0.32,1,10,314.1,NA,FALSE
